id,title,url,description
1,Clip Reel,https://vimeo.com/863534980,
2,The True Meaning of Christmas | Jay Bennett,https://www.youtube.com/watch?app=desktop&si=jvDDmQgIYKPIW68F&v=qvDFMGeHPBM&feature=youtu.be,"I directed, produced and edited this music video for Jay Bennett, a London-based comedian."
3,I Trained like My Tyson for 24 Hours | ReadyMoneyTyrieq,https://www.youtube.com/watch?v=c_ZRJtaitnQ,"I shot, directed and edited this YouTube video for ""Ready Money"" Tyieq, a London-based champion boxer."
4,"Hometown Glory - The Crowning of A New Cruiserweight King In Front of 15,000 Fans! | Boxxer",https://www.youtube.com/watch?v=paumTDPcDCc&t=283s,"I operated second camera for this promo on Boxxer, promoting Chris Billiam-Smith v. Mateusz Masternark"
5,I Faked My Own Death | Like or Death | Channel 4 Documentaries,https://www.youtube.com/watch?v=atGfCkENCdw,"I assisted on the edit for one episode of “Like or Death”, a digital Channel 4 series documenting digital influencers who perform death-defying stunts or create generally dangerous content."
6,Four Strangers Have One LOVE ISLANDER In Common! Can They Guess WHO?! | It's Mutual | Channel 4.0,https://www.youtube.com/watch?v=l_BFYfAqy_0,"I edited two episodes of “It’s Mutual”, a digital Channel 4 game show series featuring contestants trying to guess a mutual friend. I also graded both episodes."
7,Can 4 Girls Guess Who They Rejected For A Cash Prize?! | It's Mutual | Channel 4.0,https://www.youtube.com/watch?v=AMsv7kCH39k,"I edited two episodes of “It’s Mutual”, a digital Channel 4 game show series featuring contestants trying to guess a mutual friend. I also graded both episodes."
8,"Hometown Glory - The Crowning of A New Cruiserweight King In Front of 15,000 Fans! ",https://www.youtube.com/watch?v=paumTDPcDCc,"I shot MIV for a video promoting a December 2023 boxing match between Chris Billiam-Smith and Mateusz Masternak. The interview was with Billiam-Smith, who as of November 2023 is the WBO cruiserweight champion."
9,y Entire Face And Body Are Tattooed - Until Today | TRANSFORMED,https://www.youtube.com/watch?v=z4nIjm-iRaQ,"I end-to-end edited and scripted this episode of “Transformed,” a Truly series that showcases people with unique and distinct styles undergoing a major makeover."
10,I've Been Stretching My 76mm Earlobes Since I Was 14 | HOOKED ON THE LOOK,https://www.youtube.com/watch?v=vEhlRagjKq4,"I end-to-end edited and scripted this episode of “Hooked on the Look”, a Truly series that showcases people with unique and distinct styles."
11,Cosplay Saved My Life | SHAKE MY BEAUTY,https://www.youtube.com/watch?v=d-e3oxdL9vs,"I end-to-end edited this episode of “Shake my Beauty”, a Truly series that showcases people with unique and distinct styles, but with a more makeup/glam style than Hooked on the Look."
12,I'm 29 And Pregnant For The 9th Time | MY EXTRAORDINARY FAMILY,https://www.youtube.com/watch?v=-PnyeeRPVRI,"I end-to-end edited and scripted this episode of “My Extraordinary Family”, a Truly series that showcases quirky or unconventional families."
13,The Twin Sisters Who Share A Body | BORN DIFFERENT,https://www.youtube.com/watch?v=IanewtnOC0A,"I end-to-end edited and scripted this episode of “Born Different”, a Truly series that spotlights differently-abled people."
14,I Make ‘Spicy’ Content - What Will My Date Think? | DATING DIFFERENT,https://www.youtube.com/watch?v=bNuUymlmXno,"I end-to-end edited and scripted this episode of “Dating Different”, a Truly dating/matchmaking series."
15,A Night Of Partying Changed Our Lives Forever | LOVE DON'T JUDGE,https://www.youtube.com/watch?v=MMzEp4qlqp4,"I end-to-end edited and scripted this episode of “Love Don’t Judge”, a Truly series spotlighting unconventional couples and relationships. "
16,Disinformation and Democracy (Part I) | People and Power,https://www.youtube.com/watch?v=eZEz6Pc3Z24,"I associate-produced this two-part Al Jazeera special, which investigated the dissemination of misinformation around the time of major elections in 2016, 2017 and 2018, with a focus on Donald Trump’s 2016 presidential victory. Responsibilities ranged from post production responsibilities like assisting on editing and scripting; securing shooting locations and sourcing b-roll."
17,Disinformation and Democracy (Part II) | People and Power,https://www.youtube.com/watch?v=cuaRz7BOm1A,"I associate-produced this two-part Al Jazeera special, which investigated the dissemination of misinformation around the time of major elections in 2016, 2017 and 2018, with a focus on Donald Trump’s 2016 presidential victory. Responsibilities ranged from post production responsibilities like assisting on editing and scripting; securing shooting locations and sourcing b-roll."
18,King Size - Making No Sound,https://www.youtube.com/watch?v=JpTRNlBFmy0,"I shot, produced, directed and edited this music video for London-based band, King Size."
19,Dear Toxic Masculinity (explicit),https://www.youtube.com/watch?v=IxSqmz9WnME,"I shot, produced, gripped/lit, directed and edited this music video for London-based comedian, Tamar Broadbent. "